"Name","Runtime","win_rate","agent_wins","pete_wins","max_depth","moves_weight","alignment_weight","trap_weight"
"expert-sweep-84","481","1","100","0","5","9.549161124467084","7.921788909681593","17.56377117489082"
"true-sweep-54","427","1","100","0","5","14.328174310523794","19.037787606870367","29.354292275914496"
"resilient-sweep-71","484","1","100","0","5","12.00056544866062","7.8987859303454915","17.206654224200868"
"curious-sweep-64","425","1","100","0","5","10.22587729096605","6.559941113719123","25.24063337573963"
"confused-sweep-42","409","0.99","99","1","5","11.10675707481036","9.77777467388033","19.667359774927156"
"efficient-sweep-47","428","0.99","99","1","5","14.562168428996534","11.342109283722776","22.68787378733601"
"wandering-sweep-99","405","0.99","99","1","5","11.3611865133332","10.468884089416576","19.33534543299463"
"wise-sweep-52","483","0.99","99","1","5","10.690588181577368","18.310872725673104","13.417747139102804"
"polished-sweep-77","505","0.99","99","1","5","10.726878651345064","7.341333766679476","16.247585685682793"
"toasty-sweep-87","464","0.99","99","1","5","13.396751246136882","7.396591878128924","17.511637380460165"
"ruby-sweep-59","372","0.99","99","1","5","14.16710201191517","17.34017276750575","27.154371947850528"
"fiery-sweep-73","388","0.99","99","1","5","11.029172642958834","8.89501138916099","17.883706946308017"
"whole-sweep-12","473","0.99","99","1","5","11.54203513822474","9.690785358977228","19.5154687739723"
"tough-sweep-60","367","0.99","99","1","5","14.08983884097584","19.75973330299078","28.355884541843484"
"swift-sweep-69","376","0.99","99","1","5","10.630677053961996","8.42747958053296","17.852464414530363"
"feasible-sweep-68","387","0.99","99","1","5","10.804012373079612","6.932895092228517","24.738872931986077"
"visionary-sweep-16","463","0.98","98","2","5","11.427364679797522","9.440518055011625","21.56781402913107"
"stilted-sweep-18","526","0.98","98","2","5","10.45017745483504","10.771183920372655","19.16755531129637"
"fresh-sweep-62","463","0.98","98","2","5","14.719964709546428","19.373916837486668","29.662657946685435"
"happy-sweep-13","543","0.98","98","2","5","12.340738972738102","11.074812995716515","22.91920634866855"
"revived-sweep-21","41","0.98","98","2","3","8.468400089025854","8.20700358605782","10.046836909003924"
"ruby-sweep-96","413","0.98","98","2","5","11.855954396787816","6.664108960736934","17.96114795297825"
"smart-sweep-9","435","0.98","98","2","5","10.535878209955715","11.860855779968992","19.481341705514055"
"fresh-sweep-58","427","0.98","98","2","5","12.104072169737176","6.341772110082034","16.055547033284178"
"wild-sweep-75","460","0.98","98","2","5","11.356273526593949","6.1958940153298565","17.417952682528718"
"pleasant-sweep-88","402","0.98","98","2","5","9.84194288757986","8.051895235818442","16.69166973250705"
"exalted-sweep-27","96","0.98","98","2","4","9.654437963596338","18.5362896263742","10.42538129132537"
"sparkling-sweep-28","109","0.98","98","2","4","12.617482298035698","18.1184041855444","10.050984022493454"
"unique-sweep-6","368","0.98","98","2","5","8.75265953296603","9.156246231988224","14.31795989615583"
"clean-sweep-53","453","0.98","98","2","5","8.444138119791445","7.440727071367613","26.47982315674628"
"hopeful-sweep-81","491","0.98","98","2","5","11.891933371530245","7.343627490722784","16.804225334611374"
"dashing-sweep-82","474","0.98","98","2","5","12.299216460484704","18.26710391635921","14.606460324281311"
"comfy-sweep-46","36","0.98","98","2","3","9.257035477635206","18.66987927324743","12.499301498743309"
"noble-sweep-38","444","0.98","98","2","5","11.962157277509752","8.260811689185772","19.044996965027536"
"honest-sweep-37","468","0.98","98","2","5","13.46512834745972","9.92408112265082","25.18664134040414"
"vital-sweep-83","458","0.97","97","3","5","11.42799339316164","7.523684838934007","16.736828529784162"
"denim-sweep-35","119","0.97","97","3","4","10.368228700732246","15.981384267717672","10.114998752242116"
"frosty-sweep-93","36","0.97","97","3","3","9.322524747510805","8.644962654828554","24.749535783780143"
"magic-sweep-39","440","0.97","97","3","5","12.203455741946886","9.294908889676131","19.80349818254994"
"balmy-sweep-40","490","0.97","97","3","5","10.17490045406952","7.047576308582214","20.157131173633932"
"devout-sweep-41","443","0.97","97","3","5","14.028771487698204","12.214554508165849","24.37644920258918"
"rural-sweep-98","438","0.97","97","3","5","14.312809420540022","5.7326850015462965","16.268262044981228"
"ethereal-sweep-92","35","0.97","97","3","3","10.78519738561727","17.130099688888848","12.775291796730093"
"decent-sweep-7","459","0.97","97","3","5","10.05566840728794","8.43631012020752","14.239599088876478"
"revived-sweep-91","431","0.97","97","3","5","13.276394770783948","8.092757822033514","17.449019910757862"
"atomic-sweep-33","120","0.97","97","3","4","13.664975488022264","15.17612678233142","10.214976203506422"
"dainty-sweep-94","96","0.97","97","3","4","9.344046964590683","8.22489457765986","20.870069531595817"
"twilight-sweep-76","555","0.97","97","3","5","9.495502272807029","19.409354183429222","13.09399038511765"
"misty-sweep-90","590","0.97","97","3","5","10.57639533094494","6.975096168791209","16.03225250591206"
"resilient-sweep-8","404","0.97","97","3","5","7.990422507884488","7.373694305048405","14.853551667337491"
"cosmic-sweep-89","416","0.97","97","3","5","13.007593372576498","6.927089472946184","16.953793545299472"
"fanciful-sweep-10","470","0.97","97","3","5","9.233301593917568","9.36758766018643","18.626694997337587"
"scarlet-sweep-72","409","0.97","97","3","5","13.67705603543982","18.35311957620877","29.31805157402995"
"soft-sweep-97","386","0.97","97","3","5","12.559825792401783","7.6404731706941105","17.47389058215127"
"youthful-sweep-15","506","0.97","97","3","5","12.305387077898146","11.434444780929166","18.233893853788544"
"likely-sweep-25","38","0.97","97","3","3","10.99763704219871","13.98233764482632","11.174739494368398"
"laced-sweep-86","499","0.97","97","3","5","14.825840614694403","17.47610130285873","29.53217553310817"
"swift-sweep-67","390","0.97","97","3","5","10.117253019592445","8.776152006311577","24.772250659560317"
"leafy-sweep-23","106","0.97","97","3","4","8.949540987035645","9.623943786022185","10.203025315989082"
"good-sweep-20","124","0.97","97","3","4","5.047973213086442","7.830748344782382","10.009317399490932"
"avid-sweep-61","457","0.97","97","3","5","12.061803302293368","16.261794120868398","10.901680997631509"
"sleek-sweep-19","40","0.97","97","3","3","5.789395158400595","19.59545766736045","10.827896952163275"
"misunderstood-sweep-63","432","0.96","96","4","5","12.858526173997875","18.73961231703575","27.105216820868577"
"visionary-sweep-17","38","0.96","96","4","3","13.144226708140875","5.208683239079557","11.432153760383216"
"radiant-sweep-24","108","0.96","96","4","4","9.326334710806623","5.524049060927936","11.068483474505584"
"grateful-sweep-26","118","0.96","96","4","4","10.764762069442142","9.938387182475749","10.700486939102472"
"dry-sweep-14","511","0.96","96","4","5","14.00118006901887","7.642083140733542","20.801414793158987"
