"Name","Runtime","win_rate","agent_wins","pete_wins","max_depth","moves_weight","alignment_weight","trap_weight"
"helpful-sweep-11","33","0.99","99","1","3","7.32098351543661","8.375786648672936","10.261170341391136"
"firm-sweep-105","74","0.97","97","3","5","7.996419533590534","9.244695584417196","10.393244347012695"
"decent-sweep-99","27","0.97","97","3","2","5.822676759226839","9.952301112836846","20.21294391166035"
"rare-sweep-104","33","0.96","96","4","3","9.245758214179816","17.852219816188857","13.422452885909824"
"atomic-sweep-37","68","0.96","96","4","5","7.266914118725259","12.172418519850275","23.479502457010145"
"sweet-sweep-81","45","0.96","96","4","4","11.56643618299707","18.94985405925575","18.545072703898747"
"dark-sweep-113","35","0.95","95","5","3","6.431603991713223","16.687820513176113","28.318974533226076"
"copper-sweep-7","71","0.95","95","5","5","11.382687913692076","6.441647575366055","12.880285601414943"
"wandering-sweep-8","44","0.94","94","6","4","7.018045560518531","13.52983801435287","29.282380161900516"
"upbeat-sweep-60","31","0.94","94","6","3","9.780746864506796","5.809712187873533","13.575477362157985"
"robust-sweep-51","44","0.94","94","6","4","10.791095274499368","12.165368554625513","15.62744253893296"
"fragrant-sweep-23","48","0.94","94","6","4","6.444456755398048","17.25745411960019","15.731151616199776"
"electric-sweep-4","27","0.94","94","6","2","6.829308352128624","8.660113592637694","10.32878065519408"
"icy-sweep-107","33","0.94","94","6","3","6.277865148382302","7.398708754578438","27.969913351257752"
"comfy-sweep-102","25","0.94","94","6","2","8.890165152238769","12.304238994844404","25.588925143057352"
"fluent-sweep-10","65","0.93","93","7","5","12.685384984436116","5.925473932932624","11.935579629875065"
"lilac-sweep-6","30","0.93","93","7","2","7.198915983002322","8.616528306080355","11.002056025587644"
"revived-sweep-13","33","0.93","93","7","2","8.147889502468841","11.113211646791374","11.119821021042863"
"fresh-sweep-5","27","0.93","93","7","2","6.395628220145734","7.619868139070423","10.114869918024356"
"quiet-sweep-54","47","0.93","93","7","4","11.035209276988432","17.58056046076043","14.06539784649533"
"distinctive-sweep-91","30","0.93","93","7","3","12.541263087646293","18.83074467729869","10.86329690664326"
"true-sweep-79","68","0.93","93","7","5","13.276825728846614","13.752986774798234","14.538203745179848"
"atomic-sweep-68","27","0.92","92","8","2","10.053027322595446","6.845622279504129","12.789311675150834"
"splendid-sweep-15","29","0.92","92","8","3","12.631087516850448","7.231247223864964","10.73853928935272"
"solar-sweep-84","36","0.92","92","8","3","10.16322563041096","7.875251361799389","16.56520773515877"
"iconic-sweep-62","42","0.92","92","8","4","11.234041451947796","15.262248031383535","28.24084338832269"
"likely-sweep-56","42","0.92","92","8","4","7.391208445820836","5.653314399869627","22.356752210500694"
"winter-sweep-52","29","0.92","92","8","3","14.040078101655444","17.12353222484356","19.760874030336527"
"spring-sweep-49","45","0.92","92","8","4","9.88116575747655","5.213084302861303","11.713358184740732"
"northern-sweep-48","67","0.92","92","8","5","12.891331714450622","6.343561430253643","20.547737228691247"
"charmed-sweep-46","43","0.92","92","8","4","6.344858263950793","10.122152602110242","10.440765524132228"
"revived-sweep-101","32","0.92","92","8","3","14.191304949197075","17.899229512601487","21.50467955117626"
"solar-sweep-32","65","0.92","92","8","5","9.294173265513988","8.511494134937323","16.010398252383343"
"curious-sweep-2","46","0.92","92","8","4","8.184343377472027","14.098288099388013","18.62520170122726"
"amber-sweep-1","31","0.92","92","8","3","6.323688901802033","17.2205754471154","24.79078778406748"
"smooth-sweep-34","31","0.91","91","9","2","10.838426142462634","16.219510071854444","29.986509578223316"
"daily-sweep-86","35","0.91","91","9","2","9.434503588108257","19.094753079677545","21.784496175908895"
"trim-sweep-3","32","0.91","91","9","3","7.348122539873704","19.204091676154913","28.55509716125849"
"morning-sweep-98","49","0.91","91","9","4","5.093982166153815","10.81976866339705","23.978183253433063"
