"Name","State","Runtime","Sweep","action_bins","alpha","epsilon","gamma","x_bins","vel_bins","test_value","train_value"
"wandering-sweep-69","finished","49","ls3l5ov5","47","0.7987547277183504","0.61285733175096","0.9639722497855484","17","20","-51.92","-37.854"
"good-sweep-25","finished","52","ls3l5ov5","56","0.7787629339461748","0.5033783852563499","0.7642760190647093","15","13","-52.06","-58.89"
"dutiful-sweep-80","finished","50","ls3l5ov5","23","0.9132740523640483","0.5437596679759319","0.6032801059529966","18","13","-53.08","-61.9"
"solar-sweep-91","finished","51","ls3l5ov5","16","0.566721070985243","0.9058298201529188","0.957681911829494","12","11","-54.06","-85.804"
"absurd-sweep-87","finished","50","ls3l5ov5","45","0.8479046952468738","0.8116818220206192","0.968592949628881","12","15","-55.16","-55.538"
"spring-sweep-81","finished","50","ls3l5ov5","42","0.7968446084559873","0.9350653319700972","0.8433163173702795","26","17","-55.26","-87.194"
"fanciful-sweep-16","finished","53","ls3l5ov5","71","0.7629690195627687","0.7404035487572111","0.9790037385366548","13","16","-55.82","-59"
"whole-sweep-77","finished","51","ls3l5ov5","19","0.9155977372804602","0.9886757394164648","0.6511499293682593","22","16","-56.5","-73.974"
"treasured-sweep-82","finished","50","ls3l5ov5","20","0.8846981223475254","0.8982948481045512","0.7554854170671212","18","15","-58.56","-84.928"
"hopeful-sweep-74","finished","48","ls3l5ov5","55","0.6408779023998625","0.6809334490377722","0.9138279647875092","20","33","-59.16","-65.838"
"sweet-sweep-78","finished","48","ls3l5ov5","18","0.8552548491400771","0.5936940513049813","0.8062492784334792","11","20","-59.56","-64.152"
"hopeful-sweep-21","finished","52","ls3l5ov5","35","0.9315516927932654","0.590386748599761","0.9704615199895228","37","24","-59.78","-93.256"
"denim-sweep-33","finished","36","ls3l5ov5","27","0.8533309252978749","0.5124153068016671","0.5908570981793823","56","22","-60.82","-70.732"
"woven-sweep-10","finished","57","ls3l5ov5","92","0.9087657002542028","0.8225652371786489","0.9669617351873674","11","11","-61.08","-64.126"
"sweepy-sweep-73","finished","48","ls3l5ov5","13","0.7525802757302107","0.6526275367982237","0.8497213718533797","15","14","-62.26","-42.994"
"devout-sweep-46","finished","49","ls3l5ov5","43","0.8496741054470713","0.9448002531142976","0.9761859066158308","95","41","-64.36","-63.906"
"golden-sweep-51","finished","44","ls3l5ov5","13","0.6555561034270749","0.5651402862102033","0.9682638057328592","21","37","-66.3","-54.25"
"charmed-sweep-1","finished","50","ls3l5ov5","85","0.817966572385773","0.5153912475786107","0.7061508695831591","28","27","-66.66","-111.82"
"ancient-sweep-98","finished","43","ls3l5ov5","13","0.5165292226031489","0.6386374629842871","0.984465079538208","23","29","-67.76","-65.666"
"sunny-sweep-48","finished","60","ls3l5ov5","52","0.9777924870361796","0.9888331502221844","0.9544227856284452","33","12","-68.38","-126.032"
"toasty-sweep-92","finished","58","ls3l5ov5","12","0.8647343569973998","0.9501152949983404","0.8348146804326311","39","12","-69.9","-142.768"
"warm-sweep-88","finished","52","ls3l5ov5","27","0.7955769860923207","0.5680782111144083","0.6925259469829329","22","12","-71.5","-131.11"
