"Name","State","Runtime","Sweep","action_bins","alpha","epsilon","gamma","vel_bins","x_bins","test_value","train_value"
"crisp-sweep-5","finished","71","l6wrf4n4","66","0.5087566483819786","0.7831037406633152","0.8007039407297205","18","23","-4.06","-51.61"
"cosmic-sweep-100","finished","76","l6wrf4n4","36","0.6213814698232273","0.5626872222823258","0.8813677390597764","21","21","-5.3","-3.456"
"dandy-sweep-57","finished","66","l6wrf4n4","27","0.7655628588256775","0.794929343453034","0.9190084514492738","17","23","-6.22","-7.324"
"helpful-sweep-3","finished","74","l6wrf4n4","77","0.5855424558793512","0.7671058179883081","0.9108691687313768","16","12","-6.7","-8.308"
"clean-sweep-21","finished","66","l6wrf4n4","79","0.5151974048399854","0.5188238479285583","0.9462839722168724","18","14","-6.74","-8.556"
"lucky-sweep-70","finished","64","l6wrf4n4","40","0.7246967060362495","0.5586958062969161","0.9375210706308048","15","11","-6.82","-6.614"
"fiery-sweep-15","finished","63","l6wrf4n4","43","0.7002370896493704","0.9526868234297324","0.7575559842397475","23","20","-7.22","-7.616"
"glad-sweep-69","finished","71","l6wrf4n4","37","0.9197981631499637","0.9559729660229184","0.7431392800910894","16","13","-7.4","-10.932"
"good-sweep-63","finished","60","l6wrf4n4","55","0.5340099004802809","0.7077869354329887","0.9147870153543975","20","12","-9.66","-2.608"
"vital-sweep-41","finished","71","l6wrf4n4","12","0.7344046925239712","0.528306273458495","0.754032050875113","17","10","-9.74","-13.026"
"still-sweep-65","finished","67","l6wrf4n4","61","0.6633406066806362","0.8824230585970375","0.926839806448152","17","17","-10.02","-7.644"
"dainty-sweep-1","finished","72","l6wrf4n4","55","0.8134851401093631","0.8979402208911064","0.9597216720817798","19","10","-11.46","-11.304"
"celestial-sweep-82","finished","64","l6wrf4n4","95","0.5451088269661178","0.755076794342347","0.930088507484998","18","14","-12.3","-29.08"
"iconic-sweep-99","finished","71","l6wrf4n4","17","0.7510438330857676","0.7249275631567967","0.7470955667113002","24","18","-13.02","-14.786"
"fresh-sweep-62","finished","66","l6wrf4n4","46","0.667558174361659","0.6142858970340442","0.8311958842946646","25","24","-13.18","-14.052"
"glowing-sweep-4","finished","73","l6wrf4n4","65","0.563837431306377","0.7852987986075309","0.9462643883227664","18","11","-13.52","-14.876"
